ID,Provider_1,ProvID_1,Provider_2,ProvID_2,Stationnam,RiverName,RiverBasin,Country,CountryNam,Continent,HydroRegio,DrainArPro,DrainArLDD,YProvided,XProvided,YCorrected,XCorrected,ToCalibrat,ValidGLOFA,Legend_for,Comments,StartDate,EndDate,AddedDate,Lake,Reservoir,Lastupdate,CalibYear
G0362,GRDC,6421500,NA,NA,Borgharen,Meuse _ Mosa,Rhine,NL,Netherlands,Europe,32,21301,22013,50.87,5.72,50.85,5.65,1,1,,,1/1/1914,12/31/2013,,0,0,,2017
G0363,GRDC,4214507,WSC,04GB004,Above Whiteclay Lake,Ogoki,Albany,CA,Canada,North_America,11,11200,11229,50.8667,-88.9306,50.85,-88.95,1,1,,,8/17/1971,12/31/2016,,265,0,,2017
G0364,GRDC,2919200,NA,NA,Kushum,Ural,Ural,KZ,Kazakhstan,Asia,532,190000,190125,50.85,51.28,51.15,51.35,1,1,,,1/1/1936,12/31/1988,,0,0,,0
G0365,GRDC,6421101,NA,NA,Sint Pieter Noord,Meuse _ Mosa,Rhine,NL,Netherlands,Europe,32,21300,21211,50.83,5.71,50.65,5.65,1,1,,,1/1/1994,12/31/2013,,0,0,,2017
G0366,GRDC,4213044,NA,NA,Below Carseland Dam,Bow,Nelson,CA,Canada,North_America,11,15700,15790,50.8239,-113.4419,50.75,-113.55,1,1,,,4/17/1914,10/31/2013,,0,0,2/1/2018,2017
G0367,GRDC,4213576,NA,NA,Near Russell,Assiniboine,Nelson,CA,Canada,North_America,11,19300,19097,50.8097,-101.4361,50.85,-101.45,1,1,,,1/1/1914,12/31/2014,,0,0,2/1/2018,2017
G0368,GRDC,6140400,NA,NA,Decin,Elbe,Elbe,CZ,Czech Republic,Europe,32,51123,52004,50.79,14.23,50.85,14.25,1,1,,,1/1/1914,12/31/2012,,0,0,,2017
G0369,GRDC,4213201,NA,NA,Below Loon Creek,Qu'appelle,Nelson,CA,Canada,North_America,11,36500,36158,50.7864,-104.2892,50.65,-103.65,0,1,,[ZZ] some lake and cannals above,3/1/1955,12/31/2015,,0,0,2/1/2018,2017
G0370,GRDC,4207860,WSC,08LE031,Chase,South Thompson,Fraser,CA,Canada,North_America,12,16200,16458,50.765,-119.7403,50.75,-119.75,1,1,,,1/1/1914,12/31/2014,,182,0,,2017
G0371,GRDC,4213042,NA,NA,Below Bassano Dam,Bow,Nelson,CA,Canada,North_America,11,20300,20354,50.75,-112.5389,50.45,-112.25,1,1,,[ZZ] below a dam,6/1/1914,10/31/2016,,0,0,2/1/2018,2017
